episode 17900, agent_0: -3.629544; sum reward: -3.6295440166448647
episode 18000, agent_0: -24.248753; sum reward: -24.24875290923687
episode 18100, agent_0: -0.769604; sum reward: -0.7696043577869344
episode 18200, agent_0: -2.585115; sum reward: -2.58511515518679
episode 18300, agent_0: -41.031129; sum reward: -41.03112920587634
episode 18400, agent_0: -50.851826; sum reward: -50.851826023291636
episode 18500, agent_0: -24.655474; sum reward: -24.65547356964109
episode 18600, agent_0: -3.470999; sum reward: -3.4709985339201204
episode 18700, agent_0: -0.765688; sum reward: -0.7656878290843089
episode 18800, agent_0: -1.003774; sum reward: -1.0037737545990473
episode 18900, agent_0: -0.338277; sum reward: -0.33827749531959794
episode 19000, agent_0: -8.084625; sum reward: -8.084625252810604
episode 19100, agent_0: -13.026256; sum reward: -13.026256212465691
episode 19200, agent_0: -7.122229; sum reward: -7.122228838948856
episode 19300, agent_0: -0.893825; sum reward: -0.8938253519105032
episode 19400, agent_0: -2.941387; sum reward: -2.941387185300058
episode 19500, agent_0: -7.370972; sum reward: -7.370972464114026
episode 19600, agent_0: -7.437738; sum reward: -7.437738234795813
episode 19700, agent_0: -17.846197; sum reward: -17.846197267241084
episode 19800, agent_0: -32.112988; sum reward: -32.11298770398113
episode 19900, agent_0: -22.161199; sum reward: -22.16119877288911
episode 20000, agent_0: -3.158732; sum reward: -3.1587315766437873
